,Username,Description,Location,Followers,Following,TotalTweets,RetweetCount,DateTime,FullTweetText,Hashtags
0,PCPlanetNigeria,https://t.co/5gzFLCOIZq is Nigeria’s leading online IT store committed to providing excellent shopping experience for all. Enjoy great quality & discounts when you shop @,"Lagos, NG",671,429,2713,0,07-12-12 10:18,"Cheers to women and their relentless efforts!

www.pcplanet

#pcplanetnigeria #phone #laptop #lenovo #dell #acer #asus #printer #apple #iPad #macbookpro #samsung #iPhone #Infinix #tecno #techsupport 

#InternationalWomensDay | #March8th | #ChooseToChallenge |Tyler Perry | Meghan https://t.co/sIYeYJrPa1","['pcplanetnigeria', 'phone', 'laptop', 'lenovo', 'dell', 'acer', 'asus', 'printer', 'apple', 'iPad', 'macbookpro', 'samsung', 'iPhone', 'Infinix', 'tecno', 'techsupport', 'InternationalWomensDay', 'March8th', 'ChooseToChallenge']"
1,ismasaleem,"I am designer & Amazon Influencer
@ismasaleemshop
*My TeePublic Store*
https://t.co/9dwD8azJWO
*Education: Masters in Political Science*",,1910,1642,11159,1,07-07-17 7:00,"RT @ismasaleemshop: Deal Alert
Up to 32% off Razer Gaming Laptops and Accessories https://t.co/iTH2940S2Y via @amazon #Amazon #ad #Razer #g…","['Amazon', 'ad', 'Razer']"
2,ismasaleem,"I am designer & Amazon Influencer
@ismasaleemshop
*My TeePublic Store*
https://t.co/9dwD8azJWO
*Education: Masters in Political Science*",,1910,1642,11159,1,07-07-17 7:00,"RT @ismasaleemshop: Deal Alert
Gys there is 
Up to 32% off on Razer Gaming Laptops and Accessories 
#Amazon  #ad #Deals #deal #amazondeals…","['Amazon', 'ad', 'Deals', 'deal', 'amazondeals']"
3,ismasaleemshop,"I am Amazon Associate| Amazon Influencer. Also a Designer @ismasaleem
website https://t.co/vcLscJJUDH Education: Masters In Political Science",,193,273,1112,1,01-07-19 10:14,"Deal Alert
Gys there is 
Up to 32% off on Razer Gaming Laptops and Accessories 
#Amazon  #ad #Deals #deal #amazondeals #shopping #Laptop #gaming #gaminglaptop #accessories #gamers #gamingmouse #keyboard #mouse #Razer #buynow
https://t.co/qJwPpegysO via @amazon https://t.co/Vfzq30Cq2p","['Amazon', 'ad', 'Deals', 'deal', 'amazondeals', 'shopping', 'Laptop', 'gaming', 'gaminglaptop', 'accessories', 'gamers', 'gamingmouse', 'keyboard', 'mouse', 'Razer', 'buynow']"
4,ismasaleemshop,"I am Amazon Associate| Amazon Influencer. Also a Designer @ismasaleem
website https://t.co/vcLscJJUDH Education: Masters In Political Science",,193,273,1112,1,01-07-19 10:14,"Deal Alert
Up to 32% off Razer Gaming Laptops and Accessories https://t.co/iTH2940S2Y via @amazon #Amazon #ad #Razer #gaming #gaminglaptop #Laptop #amazondeals #Deals #gamers #TechNews  #deal #FoundItOnAmazon #amazonfinds https://t.co/WhNgZlocq7","['Amazon', 'ad', 'Razer', 'gaming', 'gaminglaptop', 'Laptop', 'amazondeals', 'Deals', 'gamers', 'TechNews', 'deal', 'FoundItOnAmazon', 'amazonfinds']"
5,securitydefence,Security & Defence - New & Reviews from International Importers of Bulk Discounted Supplies.,"England, United Kingdom",157,395,10585,0,24-11-16 21:29,"#KINGSLONG 17 17.3 Inch #Laptop Case Bag Sleeve, Lightweight #Laptop #Computer Notebook Ultrabooks Carrying Case Sleeve Handbag Cover for Men Women Fit for #Acer #ASUS Dell Lenovo HP Toshiba, Gray

More: https://t.co/j2O5XsaoXq

#Electronics #Sleeves https://t.co/itKX0rbS6j","['KINGSLONG', 'Laptop', 'Laptop', 'Computer', 'Acer', 'ASUS', 'Electronics', 'Sleeves']"
6,the404code,I'm a bot. Follow me to get updates on the latest tech blogs and tech trends #the404code | Creator: @nitinmanocha16,,1921,1,150515,8,29-09-20 6:59,"RT @BLACKHA07123304: Raspberry Pi Mini Lab
Mobile tinkering or learning on the Raspberry with a minimum amount of cables. #cybersecurity #c…",['cybersecurity']
7,the404code,I'm a bot. Follow me to get updates on the latest tech blogs and tech trends #the404code | Creator: @nitinmanocha16,,1921,1,150515,8,29-09-20 6:59,"RT @BLACKHA07123304: Raspberry Pi Mini Lab
Mobile tinkering or learning on the Raspberry with a minimum amount of cables. #cybersecurity #c…",['cybersecurity']
8,the404code,I'm a bot. Follow me to get updates on the latest tech blogs and tech trends #the404code | Creator: @nitinmanocha16,,1921,1,150515,8,29-09-20 6:59,"RT @BLACKHA07123304: Raspberry Pi Mini Lab
Mobile tinkering or learning on the Raspberry with a minimum amount of cables. #cybersecurity #c…",['cybersecurity']
9,CeotechI,"Saremo una finestra sulla tecnologia 🤖
We will be a window on technology 🤖",,3039,89,14938,0,19-06-18 10:56,"Recensione Einova by Eggtronic - Canvas Power Bank...
-
#einova #powerbank #fastcharger #powerbankmurah #smartphone #tablet #ipad #laptop #iphone #samsung #charger #mah #case #powerbankoriginal #aksesorishp #powerbankiphone #powerbankcustom #usb #headpho

https://t.co/CiJWKRKyFX https://t.co/dg1bsHot8G","['einova', 'powerbank', 'fastcharger', 'powerbankmurah', 'smartphone', 'tablet', 'ipad', 'laptop', 'iphone', 'samsung', 'charger', 'mah', 'case', 'powerbankoriginal', 'aksesorishp', 'powerbankiphone', 'powerbankcustom', 'usb', 'headpho']"
