,Username,Description,Location,Followers,Following,TotalTweets,RetweetCount,DateTime,FullTweetText,Hashtags
0,rhidwhann,"🇳🇬 problem nohfi finish! 
🤖 half man half droid 🙅🏿‍♂️",Abuja,53,86,417,0,2020-10-12 09:23:09,"@ABUJAPLUG My name is Ola Ade. I create custom Softwares and Mobile Apps for businesses.

These are a few of my past projects ..
#developer #software #mobile #windows #app https://t.co/lu3zGz0bEC","['developer', 'software', 'mobile', 'windows', 'app']"
1,gooner40,male,"Saxony, Germany",332,1170,79074,1,2009-04-21 21:43:06,"RT @CityAM: Don't miss: Starling Bank secures unicorn status with £272m funding round

Starling Bank today confirmed it has raised £272m in…",[]
2,the404code,I'm a bot. Follow me to get updates on the latest tech blogs and tech trends #the404code | Creator: @nitinmanocha16,,1921,1,150525,1,2020-09-29 06:59:57,"RT @TectraL: Toyota VC invests in AI startups, firms that refine everyday processes https://t.co/myXnwtNg7O

#technology #mobile #trending…","['technology', 'mobile', 'trending']"
3,DanielTuxStm,,,27,271,2019,5,2017-11-16 00:19:21,"RT @dos1: phosh running inside a container under phosh, plus phosh's source code in Qt Creator - all on the Librem 5. Perfect for when you…",[]
4,CityAM,"London's business newspaper - News, Opinion, and Analysis 24/7 via https://t.co/JIlJsWQjc7. 

Sign up for our free 3x daily news alerts via https://t.co/KDhwSslaiz","London, England",67448,717,169723,1,2009-06-09 13:53:06,"Don't miss: Starling Bank secures unicorn status with £272m funding round

Starling Bank today confirmed it has raised £272m in its largest ever funding round, confirming its status as Britain’s newest unicorn https://t.co/zjhmyQqAew @StarlingBank #Starling #Unicorn #Mobile #tech https://t.co/loV9gG62Lh","['Starling', 'Unicorn', 'Mobile', 'tech']"
5,SkateMapper,"SkateMapper
https://t.co/KvOdTjH7w4",Planet Earth,85,320,9120,0,2021-01-05 01:51:15,"The Saigon Interview: Reflects on His Career, State of Hip Hop, Writing a Book &amp; More 
#skateboarding
#mobile apps
#thesaigoninterviewreflectsonhiscareerstateofhiphopwritingabookmore
#soundcloud
https://t.co/tZefBdGxLn","['skateboarding', 'mobile', 'thesaigoninterviewreflectsonhiscareerstateofhiphopwritingabookmore', 'soundcloud']"
6,LAZHONEYJO,,,260,1065,4904,1,2013-12-10 21:02:39,"RT @Base_Security: Keeping your business premises safe for over a decade. @base_security 

Your Security is OUR Priority 

#Mobile #patrol…","['Mobile', 'patrol']"
7,Base_Security,BASE SECURITY ARE AN ESTABLISHED SECURITY COMPANY BASED IN MANCHESTER. We provide a Caring Honest & Professional Service by fully trained SIA Security Personnel,"Manchester, England",2674,3363,14133,1,2013-03-18 17:28:02,"Keeping your business premises safe for over a decade. @base_security 

Your Security is OUR Priority 

#Mobile #patrol #alarm #response #security #securityservices #basesecurity @ Manchester, United Kingdom https://t.co/wNxEzQXtcx","['Mobile', 'patrol', 'alarm', 'response', 'security', 'securityservices', 'basesecurity']"
8,TectraL,Tectra Technologies is a leading IT company that offers a variety of customized modern technology services and solutions that cater to varied business needs.,"Kuala Lumpur, Malaysia",41,243,315,1,2020-09-12 18:16:31,"Toyota VC invests in AI startups, firms that refine everyday processes https://t.co/myXnwtNg7O

#technology #mobile #trending #app #development #marketing #webdevelopment #webdev #DigitalMarketing #Cloudcomputing #Tectra https://t.co/wqA4nd4R9F","['technology', 'mobile', 'trending', 'app', 'development', 'marketing', 'webdevelopment', 'webdev', 'DigitalMarketing', 'Cloudcomputing', 'Tectra']"
9,TheDeveloperBot,"I'm a bot created by @DreamsOfImran with a little bit of NodeJs and lots of ❤️
I like and retweet posts related to #javascript, #vuejs, #reactjs, #Nodejs & etc",,2908,1,582505,3,2020-04-14 20:51:03,"RT @kuzzleio: Kuzzle Winter release includes a whole bunch of new exciting features ➡️ https://t.co/dHdsWAWnaI
✔️Use Kuzzle like a  #NodeJS…",['NodeJS']
10,opensource_orgs,"I retweet all the tweets with #opensource to support the community. ❤️
Developed by @techtusharojha",,1012,1,61527,3,2021-01-11 09:14:39,"RT @kuzzleio: Kuzzle Winter release includes a whole bunch of new exciting features ➡️ https://t.co/dHdsWAWnaI
✔️Use Kuzzle like a  #NodeJS…",['NodeJS']
11,kuzzleio,#OpenSource #OnPremise #CloudAgnostic #Backend #IoT #Mobile #Apps: #RealTime #Geofencing #Notification #PubSub #AdvancedSearch #NodeJS #Javascript,worldwide,883,291,1856,3,2015-05-15 12:43:05,"Kuzzle Winter release includes a whole bunch of new exciting features ➡️ https://t.co/dHdsWAWnaI
✔️Use Kuzzle like a  #NodeJS #framework
✔️Admin Console v4
✔️#Java, #Kotlin, #Golang SDK &amp; #Flutter support HTTP
✔️Discover our roadmap

#OpenSource #OnPremise #Backend #IoT #Mobile https://t.co/IpVylm7Bp2","['NodeJS', 'framework', 'Java', 'Kotlin', 'Golang', 'Flutter', 'OpenSource', 'OnPremise', 'Backend', 'IoT', 'Mobile']"
12,HamsterReturn,"It's HamsterCross guys, I'm back because of @LJZombieYT help. Part Of #ZømbieSquad clan, retweeting codm leaks and Cold War, also making memes he/him",We need codm zombie mode back!,187,460,2823,6,2020-12-13 10:41:36,"RT @CODM_TerpJetson: I've been so slammed today. My apologies. Giveaway will happen tomorrow 8-9pm PST 

In the mean time, head over and gi…",[]
13,technoledgical,Technology | Phones/Tablet Review Specification| Computer/Laptop Review Specification| Gadgets Review Specification| Shop and More...,,0,5,47,0,2021-02-22 13:36:49,"iPhone 12 Mini Features &amp; Specs
https://t.co/3WPKvOWIvI

#Apple #iPhone12 #Mobile #mondaythoughts #InternationalWomensDay  #8Marzo2021 #WomensDay  #8M2021 #Love #IWD2021 #BTSARMY #womenpower #womenempowerment  #IPL2021 #ElonMusk #Amazon #HappyWomensDay #HarryandMeghanonOprah https://t.co/CnXZxNQ9HK","['Apple', 'iPhone12', 'Mobile', 'mondaythoughts', 'InternationalWomensDay', '8Marzo2021', 'WomensDay', '8M2021', 'Love', 'IWD2021', 'BTSARMY', 'womenpower', 'womenempowerment', 'IPL2021', 'ElonMusk', 'Amazon', 'HappyWomensDay', 'HarryandMeghanonOprah']"
14,resp_mutua,"RESPONSABILIDADE MÚTUA
Foto Capa: mrxapoh@Flickr

RESPONSÁVEIS UNS PELOS OUTROS",,405,1745,20408,0,2012-02-22 16:53:58,Best learning app 2013 https://t.co/NWIADSLmEx #mobile #elearning #edapp #happiness,"['mobile', 'elearning', 'edapp', 'happiness']"
15,WaterSpotless,Self-service Ultra Pure Water filling stations available 24/7 across the UK. Sign up online today to try us out for free: https://t.co/5mgJEffypg,"London, England",590,765,410,0,2016-12-21 20:50:02,"First time user at Molesey for Paws and Whiskers Mobile Grooming, thanks for the picture! #spotlesswater #mobile #grooming #ultra #pure #water #pawsandwhiskersmobilegrooming https://t.co/SaTQ1lK1J0","['spotlesswater', 'mobile', 'grooming', 'ultra', 'pure', 'water', 'pawsandwhiskersmobilegrooming']"
16,LegendLakeNet,Legend Lake Technologies | Software development and cloud hosting | LegendLakeTech@gmail.com,"Legend Lake, Wisconsin",9,43,10787,0,2020-09-15 07:01:27,"Legend Lake Technologies

Websites:
- Clean designs
- Device adaptive layouts
- Dynamic multi panel
- Embedded social
- Dynamic media bots

 #Mobile #Web #Desktop #Server #Code #Cloud #MondayMotivation #MondayThoughts #WorkingFromHome https://t.co/GEaUEBPqnR","['Mobile', 'Web', 'Desktop', 'Server', 'Code', 'Cloud', 'MondayMotivation', 'MondayThoughts', 'WorkingFromHome']"
17,securitydefence,Security & Defence - New & Reviews from International Importers of Bulk Discounted Supplies.,"England, United Kingdom",157,395,10585,0,2016-11-24 21:29:38,"#TRENDnet 8-Channel H.264/H.265 PoE+ NVR, 1080p HD, up to 12TB storage (HDDs not included), Supports one 4K Camera Channel, 8 PoE+ ports, 80W PoE Power Budget, Rackmount, TV-NVR408

More: https://t.co/1mW7vw08HE

#AT #Electronics #Mobile #Simply https://t.co/02SI8e0z0v","['TRENDnet', 'AT', 'Electronics', 'Mobile', 'Simply']"
18,Cloud_CIO_,"CloudCIO a vendor agnostic, independent, Digital Transformation & IT Security consultancy.  Transforming Businesses Securely.","London, England",1186,498,67292,5,2015-09-10 09:18:16,"RT @agedchild003: RT @bamitav: DeepFake, a #Mobile Photo App That's Going Viral - https://t.co/2NKOLhVXr7 

https://t.co/uaSZ6AyhWd

#photo…","['Mobile', 'photo']"
19,eniomgodoy,Apreciem sem moderação - enjoy without moderation: https://t.co/2PA23RxKrX https://t.co/ypvMWYaZp2 https://t.co/2bV0OLxjWK,Bauru - SPaulo - Brasil,608,4294,9608,0,2011-07-22 13:58:02,"Cups - serie - 6 #flickr https://t.co/v8Sy1Od0Cs 

#taças #cups #cheers #timtim #saúde #brinde #mobile #mobilephotography #huawei @huawei #huaweiphotography #huaweifineart @sandiskbrasil #artavenda #artforsale #fineart #arteemtela #arteemsuacasa #decor #decoração #decoration","['flickr', 'taças', 'cups', 'cheers', 'timtim', 'saúde', 'brinde', 'mobile', 'mobilephotography', 'huawei', 'huaweiphotography', 'huaweifineart', 'artavenda', 'artforsale', 'fineart', 'arteemtela', 'arteemsuacasa', 'decor', 'decoração', 'decoration']"
20,nintendolife,"The latest Nintendo Switch news, reviews and videos. We are the most visited #Nintendo site in the world. DMs open. #NintendoSwitch #Switch #3DS",UK & USA,197875,2091,101896,0,2009-03-25 10:41:46,Guide: Pokémon GO Spotlight Hour Times And Bonus Hour Times: This Week's Featured Pokémon And Mystery Bonus - 9th March https://t.co/8UbOgreJ6I #Guides #Features #PokemonGO #Mobile #Pokemon https://t.co/E4B1iJAjPM,"['Guides', 'Features', 'PokemonGO', 'Mobile', 'Pokemon']"
21,Relinns,"At Relinns, we breathe tech  solutions and embrace innovations with open arms. 
 
Our team is on the  path to find religion in the workplace.","Mohali, India",466,256,708,4,2016-02-06 12:29:05,"RT @AppsRhino: Do You Have Idea for such kind of Apps, We can help you put that idea into Reality
@AppsRhino Visit our website https://t.co…",[]
22,Shirley16000637,"ambivert girl 
web developer
kind of fun loving 
words are my kind of love #poetic",,82,161,175,4,2020-11-20 10:53:39,"RT @AppsRhino: Do You Have Idea for such kind of Apps, We can help you put that idea into Reality
@AppsRhino Visit our website https://t.co…",[]
23,Nishant54523523,"web developers 
app developers",,52,151,170,4,2020-11-20 11:17:18,"RT @AppsRhino: Do You Have Idea for such kind of Apps, We can help you put that idea into Reality
@AppsRhino Visit our website https://t.co…",[]
24,imbotpenguin,"BotPenguin, AI-powered Chatbot Platform, Builds incredible Chatbots to Communicate and Engage your customers on the website, facebook and other platforms.","Chicago, IL",260,418,704,4,2019-01-09 06:23:06,"RT @AppsRhino: Do You Have Idea for such kind of Apps, We can help you put that idea into Reality
@AppsRhino Visit our website https://t.co…",[]
25,infurm,"We are a provider of Information Technology solutions, assisting businesses in developing software products and automating day to day operations.","Las Vegas, NV",313,394,1530,0,2010-10-19 07:31:02,"Making sure a website is optimized for different mobile devices is a challenge for a novice; at Infurm, it is just another day in the office. Call today! 702-518-3899 #InfurmTechnologies #Mobile #Phone #Tablet #Optimization https://t.co/LcEQIEi0h3","['InfurmTechnologies', 'Mobile', 'Phone', 'Tablet', 'Optimization']"
26,LegendLakeNet,Legend Lake Technologies | Software development and cloud hosting | LegendLakeTech@gmail.com,"Legend Lake, Wisconsin",9,43,10787,1,2020-09-15 07:01:27,"Legend Lake Technologies

- Software development and cloud hosting
- 25+ yrs experience
- Quality work
- Reasonable rates

 #Mobile #Web #Desktop #Server #Code #Cloud #MondayMotivation #MondayThoughts #WorkingFromHome https://t.co/VovlsEpC3a","['Mobile', 'Web', 'Desktop', 'Server', 'Code', 'Cloud', 'MondayMotivation', 'MondayThoughts', 'WorkingFromHome']"
27,papashoppe,An store to buy quality products,,2,0,945,0,2020-04-07 16:56:28,"Share and Follow to get 5% off and FreeShipping of 
Sale Price: $ 35.99 
Website: https://t.co/WIkdbAlpb5
#PapaShoppe #shopping #store #fashion #sports #sport #fitness #womenfashion #menfashion #gadget #mobile #party #pants #dress #skirt #swimsuit #sportdevice https://t.co/yd0Otuus0U","['PapaShoppe', 'shopping', 'store', 'fashion', 'sports', 'sport', 'fitness', 'womenfashion', 'menfashion', 'gadget', 'mobile', 'party', 'pants', 'dress', 'skirt', 'swimsuit', 'sportdevice']"
