,Username,Description,Location,Followers,Following,TotalTweets,RetweetCount,DateTime,FullTweetText,Hashtags
0,bigmikeleeder,"arch nemesis of several wankers https://t.co/dc5q46k5OW…  
https://t.co/qvIUGuN8s1…

https://t.co/sO249gMojz
bigmik",somewhere beyond the sea,2117,1051,22440,4,2009-04-11 14:59:57,"RT @networktweets: Happy #InternationalWomensDay! 

#Widows #LyndaLaPlante #tv #80s https://t.co/oOACzJgpcp","['InternationalWomensDay', 'Widows', 'LyndaLaPlante', 'tv', '80s']"
1,LaurenH14394197,,,4128,4904,403541,4,2013-12-25 18:32:56,"RT @islahughess: Happy #showreelshareday everyone!

I thought I’d pop mine up on here and join in the fun! I love a good thriller or horror…",['showreelshareday']
2,shopbreakingbad,"STORE #1 FOR #BREAKING_BAD MERCHANDISE 😎
BE THE ONE WHO KNOCKS ✊🏻✊🏻",,146,9,1768,0,2016-08-23 13:52:39,"Follow @theartoftattooingofficial for more 💎
#breakingbad #breakingbadelcamino #series #tv https://t.co/u83Us80KkI https://t.co/tH6cbbGK1j","['breakingbad', 'breakingbadelcamino', 'series', 'tv']"
3,d_alistairyears,Wannabe author and 3D animator. Wikipedia editor. My playlist: https://t.co/H5Nv0pUG2G?amp=1 Enjoy yourselves!,"Beds, England",88,334,11778,4,2018-07-22 21:54:27,"RT @networktweets: Happy #InternationalWomensDay! 

#Widows #LyndaLaPlante #tv #80s https://t.co/oOACzJgpcp","['InternationalWomensDay', 'Widows', 'LyndaLaPlante', 'tv', '80s']"
4,mediainfoWorldw,"A worldwide feed of media news, from the media information website. For country-specific versions, come to http://t.co/wBZcjFY5tO","London, UK",674,1,122265,0,2014-01-10 16:07:20,UK: BritBox to launch on Amazon Prime Video channels https://t.co/f7BvsUFJAx /via @broadbandtvnews /cc @freesat_tv #tv,['tv']
5,minfoUKtv,"The latest industry news about UK television from http://t.co/wBZcjFY5tO, the media information website","London, UK",1826,1,97047,0,2007-05-03 21:29:54,News: BritBox to launch on Amazon Prime Video channels https://t.co/3dNqJXnjiV /via @broadbandtvnews /cc @freesat_tv #tv,['tv']
6,namesdomain87,Domain Names,,8,7,1028,34,2020-12-14 05:39:37,"RT @DomainFQ: .
Domain For sale

https://t.co/VykOiIGcZD

#TerreTV #Terre_tv #Terre #Domain #EarthTV #french #Fr #Earth #100DaysOfCode #jav…","['TerreTV', 'Terre_tv', 'Terre', 'Domain', 'EarthTV', 'french', 'Fr', 'Earth', '100DaysOfCode']"
7,eledonkstore,"EleDonk Electronics - Review, New Products and Gadget and Deals on the Cool New Electronics. As an affiliate, we can earn from qualifying purchases.","Florida, USA",76,22,14686,0,2019-02-17 13:44:33,"Amazon Fire TV Stick 4K w/ Alexa Voice Remote, 2019! UNALTERED!! FACTORY SEALED! https://t.co/cCUglgBPp8  - @Eledonkstore #TV #Television #Ad","['TV', 'Television', 'Ad']"
8,deanne2622,I ❤ my 4 children 👶💁‍♀🤷‍♀️🤵 Peaky Blinders 🤪 surprises 🙃 Chocolates 🍫 oldie worldie things🏛Lazy Days 💆‍♀️ and London 🇬🇧🇬🇧,"Houghton-le-Spring, England",4040,4986,292550,523,2010-09-29 13:27:44,"RT @TVgroup_UK: #Competition #giveaway #freebiefriday #inittowinit 
...brought to you by https://t.co/uJgx0rvrwd! 

Simply #retweet &amp; #like…","['Competition', 'giveaway', 'freebiefriday', 'inittowinit', 'retweet', 'like']"
9,Movieplusnews,"MoviePlus : Movie , Tv Series , Gaming News Website ,",Australia,1,2,10565,0,2018-11-13 23:09:52,"Restored Chaplin movies to hit cinemas worldwide
-
It has been a century since English comic actor Charlie Chaplin directed and starred in his first feature ...
--
https://t.co/NTaAhulIin
-
#Movie #Trailer #Tv #Hollywood #Gaming @HollywoodRecs @netflix @THR @latimesmovies https://t.co/ENlTxTnW5N","['Movie', 'Trailer', 'Tv', 'Hollywood', 'Gaming']"
10,Shhh26,advisor/ researcher/ producer. Film& TV.,suffolk&london,851,1889,14022,1,2010-11-01 19:59:41,RT @Lyndsayduthie: Happy International Women’s Day. Fantastic to celebrate achievements of female trailblazers. So proud that 2 of our bril…,[]
11,DroidAsiaBlog,We talk about #Tech and #Leaks l No Paid Reviews l Blunt Honest Opinions l Support #DroidAsia YouTube channel l Send DM for Leaks and Info. @KKAvijit (personal),Kolkata,48,124,1392,0,2017-03-19 13:06:47,"Redmi XL is indeed #RedmiTV coming on 17.3.21 - @amazonIN

#DroidAsia #YouTube #TechNews
#TeamDroidAsia #TV #RedmiTVXL #AmazonIn https://t.co/35Uendaeud","['RedmiTV', 'DroidAsia', 'YouTube', 'TechNews', 'TeamDroidAsia', 'TV', 'RedmiTVXL', 'AmazonIn']"
12,_Faultline_,"Video Networks | SVoD | OTT | TV | Pay TV | Broadband | Video | Mobile Video | Entertainment

Subscription service by @rethinkresearch","Bristol, UK",118,387,918,0,2019-07-10 15:21:59,"DirecTV deal sends AT&amp;T on its way to peddling pure OTT...https://t.co/5jA7MRKY9J

#SVoD #TV #videonetworks #video #OTT #PayTV #broadband #mobilevideo #streaming #WiFi @DIRECTV @ATT https://t.co/HgDFX7Qa03","['SVoD', 'TV', 'videonetworks', 'video', 'OTT', 'PayTV', 'broadband', 'mobilevideo', 'streaming', 'WiFi']"
13,enzer_tweets,"Young, Alien, Flirt, Polyglot, Totally Unbiased / #EWRecognitions / #EWDay / #EWShine / #TheRoundUp / #EWLiveTweet / #EWTVMoments / #EyeCandy / #EWRadio ///",Enzer's World,3529,3444,49664,0,2010-08-26 23:02:48,SPEAK OUT #Stars #Talk #TV #Xtra () &gt;&gt;&gt; - Reacting to my @TrendingSA SABC 3 Interview! https://t.co/SDCFz5Mioe via @YouTube,"['Stars', 'Talk', 'TV', 'Xtra']"
14,ennomnom,App Business - Developer & Marketing,,5615,9306,127666,43,2015-11-15 18:39:00,"RT @DomainFQ: .
Domain for sale

https://t.co/3QMMuloTKn

#Tamasha #TamashaLive #Entertainment #Startup #100DaysOfCode #javascript #python…","['Tamasha', 'TamashaLive', 'Entertainment', 'Startup', '100DaysOfCode', 'javascript', 'python']"
15,codedailybot,"follow me. #100daysOfCode  #coding  #hourofcode or code related
made with ❤️ + node.js by @yunkidev",#codedaily,9525,1,844504,43,2019-12-09 20:01:02,"RT @DomainFQ: .
Domain for sale

https://t.co/3QMMuloTKn

#Tamasha #TamashaLive #Entertainment #Startup #100DaysOfCode #javascript #python…","['Tamasha', 'TamashaLive', 'Entertainment', 'Startup', '100DaysOfCode', 'javascript', 'python']"
16,namesdomain87,Domain Names,,8,7,1028,43,2020-12-14 05:39:37,"RT @DomainFQ: .
Domain for sale

https://t.co/3QMMuloTKn

#Tamasha #TamashaLive #Entertainment #Startup #100DaysOfCode #javascript #python…","['Tamasha', 'TamashaLive', 'Entertainment', 'Startup', '100DaysOfCode', 'javascript', 'python']"
17,mediainfoWorldw,"A worldwide feed of media news, from the media information website. For country-specific versions, come to http://t.co/wBZcjFY5tO","London, UK",674,1,122265,0,2014-01-10 16:07:20,UK: ‘17 is a prime number – eccentric’: how Numberblocks became a kids TV hit https://t.co/GrU3ctYIIo /via @guardianaus /cc @CBeebiesHQ #tv,['tv']
18,minfoUKtv,"The latest industry news about UK television from http://t.co/wBZcjFY5tO, the media information website","London, UK",1826,1,97047,0,2007-05-03 21:29:54,News: ‘17 is a prime number – eccentric’: how Numberblocks became a kids TV hit https://t.co/Y3y4zVqevh /via @guardianaus /cc @CBeebiesHQ #tv,['tv']
19,animeisWHACK,,,18,183,795,109,2020-01-28 00:27:00,RT @VolkanDogru_18: #PS5 #OLED #tv With HDR vs Without (SDR) https://t.co/D0dbZq6IIg,"['PS5', 'OLED', 'tv']"
20,mediainfoWorldw,"A worldwide feed of media news, from the media information website. For country-specific versions, come to http://t.co/wBZcjFY5tO","London, UK",674,1,122265,0,2014-01-10 16:07:20,UK: Subtitles turned on in children’s literacy campaign https://t.co/0le9Vu0EW0 /via @broadbandtvnews #tv,['tv']
21,minfoUKtv,"The latest industry news about UK television from http://t.co/wBZcjFY5tO, the media information website","London, UK",1826,1,97047,0,2007-05-03 21:29:54,News: Subtitles turned on in children’s literacy campaign https://t.co/3If0HaUJTN /via @broadbandtvnews #tv,['tv']
22,memorabiliaitem,,,34,97,50922,0,2017-08-26 16:24:55,#TV Harry Potter Badge Love Potion https://t.co/R9D8qAVchJ,['TV']
23,bosiecat,"Urban explorer with a magpie eye; visual anthropologist; black comedy provocateur; seriously over-indulgent godfather, cat lover, shoe worrier!","stoke newington, London, N16",143,236,18382,4,2011-04-16 20:40:51,"RT @networktweets: Happy #InternationalWomensDay! 

#Widows #LyndaLaPlante #tv #80s https://t.co/oOACzJgpcp","['InternationalWomensDay', 'Widows', 'LyndaLaPlante', 'tv', '80s']"
24,ShayTweeter,"I retweet your tweets but only those in which you have used anyone among these two Hashtags
1. #python
2. #video
This Bot is Owned and Managed by @coderaman07",INDIA,529,18,8327,1,2020-04-14 12:48:02,"RT @ABQSatellite: Michelangelo Antonioni Screenplay To Be Finally Shot by Gullane, Similar, Andre Ristum (EXCLUSIVE) - https://t.co/1DLungX…",[]
25,AevansMarvelDC,enjoys gaming and building things DC MAD,"Oxford, England",920,5000,155179,523,2017-12-27 17:41:05,"RT @TVgroup_UK: #Competition #giveaway #freebiefriday #inittowinit 
...brought to you by https://t.co/uJgx0rvrwd! 

Simply #retweet &amp; #like…","['Competition', 'giveaway', 'freebiefriday', 'inittowinit', 'retweet', 'like']"
26,ABQSatellite,We are Albuquerque's Oldest and Largest DIRECTV Dealer. Home - Business - Hotels - Long Term Care,"Albuquerque, NM",986,1858,37356,1,2014-05-08 06:26:25,"Michelangelo Antonioni Screenplay To Be Finally Shot by Gullane, Similar, Andre Ristum (EXCLUSIVE) - https://t.co/1DLungXram https://t.co/z9CfKejcLa #TV #Video #Movies #Entertainment","['TV', 'Video', 'Movies', 'Entertainment']"
27,enzer_tweets,"Young, Alien, Flirt, Polyglot, Totally Unbiased / #EWRecognitions / #EWDay / #EWShine / #TheRoundUp / #EWLiveTweet / #EWTVMoments / #EyeCandy / #EWRadio ///",Enzer's World,3529,3444,49664,0,2010-08-26 23:02:48,"SPEAK OUT #TV #Xtra () &gt;&gt;&gt; - The Russian Dolls Performs ""Shallow"" From A Star Is Born | Season 5 Ep. ... https://t.co/hgrsidvHly via @YouTube","['TV', 'Xtra']"
28,CelebWorld4,"https://t.co/Vb5iPlIjKR - World of Celebrity News, Movies, TV and Showbiz.",UK,740,78,18995,0,2020-07-23 21:31:27,Toyah Willcox covers her nipples with black tape for raunchy version of Britney Spears hit Toxic has been published on https://t.co/yTwHxI0DdI - https://t.co/8AFZiUfHIj #Showbiz #TV https://t.co/a4OL3Ou0dV,"['Showbiz', 'TV']"
29,CelebWorld4,"https://t.co/Vb5iPlIjKR - World of Celebrity News, Movies, TV and Showbiz.",UK,740,78,18995,0,2020-07-23 21:31:27,Toyah Willcox covers her nipples with black tape for raunchy version of Britney Spears hit Toxic has been published on https://t.co/yTwHxI0DdI - https://t.co/8AFZiUfHIj #Showbiz #TV https://t.co/jKTIAq996e,"['Showbiz', 'TV']"
30,CelebWorld4,"https://t.co/Vb5iPlIjKR - World of Celebrity News, Movies, TV and Showbiz.",UK,740,78,18995,0,2020-07-23 21:31:27,Lorraine Kelly surprises fans by revealing her real name after showing off coronavirus vaccination card has been published on https://t.co/yTwHxI0DdI - https://t.co/5waU8z7Cr0 #Showbiz #TV https://t.co/KRqbq9nOr9,"['Showbiz', 'TV']"
